통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수
통합,부산광역시,부산진구,추가아동양육비,,,202503,부산광역시,부산진구,추가아동양육비,126,,202502,부산광역시,부산진구,추가아동양육비,134,,202412,부산광역시,중구,추가아동양육비,21,,202501,부산광역시,부산진구,추가아동양육비,130
통합,부산광역시,동래구,아동양육비,,,202503,부산광역시,동래구,아동양육비,1025,,202502,부산광역시,동래구,아동양육비,1015,,202412,부산광역시,서구,아동양육비,644,,202501,부산광역시,동래구,아동양육비,996
통합,부산광역시,동래구,추가아동양육비,,,202503,부산광역시,동래구,추가아동양육비,78,,202502,부산광역시,동래구,추가아동양육비,84,,202412,부산광역시,서구,생활보조금,2,,202501,부산광역시,동래구,추가아동양육비,83
통합,부산광역시,남구,아동양육비,,,202503,부산광역시,남구,아동양육비,912,,202502,부산광역시,남구,아동양육비,911,,202412,부산광역시,서구,추가아동양육비,65,,202501,부산광역시,남구,아동양육비,910
통합,부산광역시,남구,추가아동양육비,,,202503,부산광역시,남구,추가아동양육비,94,,202502,부산광역시,남구,추가아동양육비,92,,202412,부산광역시,동구,아동양육비,527,,202501,부산광역시,남구,추가아동양육비,91
통합,부산광역시,북구,아동양육비,,,202503,부산광역시,북구,아동양육비,1502,,202502,부산광역시,북구,아동양육비,1507,,202412,부산광역시,동구,추가아동양육비,37,,202501,부산광역시,북구,아동양육비,1501
통합,부산광역시,북구,추가아동양육비,,,202503,부산광역시,북구,추가아동양육비,164,,202502,부산광역시,북구,추가아동양육비,164,,202412,부산광역시,동구,학용품비,6,,202501,부산광역시,북구,추가아동양육비,163
통합,부산광역시,해운대구,아동양육비,,,202503,부산광역시,해운대구,아동양육비,1583,,202502,부산광역시,해운대구,아동양육비,1583,,202412,부산광역시,영도구,아동양육비,765,,202501,부산광역시,해운대구,아동양육비,1576
통합,부산광역시,해운대구,추가아동양육비,,,202503,부산광역시,해운대구,추가아동양육비,122,,202502,부산광역시,해운대구,추가아동양육비,120,,202412,부산광역시,영도구,생활보조금,1,,202501,부산광역시,해운대구,추가아동양육비,118
통합,부산광역시,사하구,아동양육비,,,202503,부산광역시,사하구,아동양육비,1965,,202502,부산광역시,사하구,아동양육비,1924,,202412,부산광역시,영도구,추가아동양육비,74,,202501,부산광역시,사하구,아동양육비,1917
